algorithm,metric,min_dataset,max_dataset
ada,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
bag,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
dt,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
et,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
gb,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
knn,accuracy,dataset_2_150_value.csv,dataset_1_150_value.csv
lgbm,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
linearSVC,accuracy,dataset_2_150_value.csv,dataset_1_150_value.csv
logit,accuracy,dataset_2_150_value.csv,dataset_1_150_value.csv
logreg,accuracy,dataset_2_150_value.csv,dataset_1_150_value.csv
mlp,accuracy,dataset_2_150_value.csv,dataset_1_150_value.csv
nb,accuracy,dataset_4_450_value.csv,dataset_1_750_value.csv
rf,accuracy,dataset_4_150_value.csv,dataset_5_450_value.csv
svm,accuracy,dataset_3_150_value.csv,dataset_1_150_value.csv
svm_prob,accuracy,dataset_3_150_value.csv,dataset_1_150_value.csv
tree,accuracy,dataset_4_150_value.csv,dataset_1_150_value.csv
xgb,accuracy,dataset_4_150_value.csv,dataset_5_450_value.csv
ada,execution_time,dataset_2_150_value.csv,dataset_5_1500_value.csv
bag,execution_time,dataset_3_150_value.csv,dataset_1_1500_value.csv
dt,execution_time,dataset_3_150_value.csv,dataset_3_1500_value.csv
et,execution_time,dataset_2_150_value.csv,dataset_2_1500_value.csv
gb,execution_time,dataset_2_150_value.csv,dataset_5_1500_value.csv
knn,execution_time,dataset_5_150_value.csv,dataset_1_150_value.csv
lgbm,execution_time,dataset_4_150_value.csv,dataset_2_1200_value.csv
linearSVC,execution_time,dataset_2_150_value.csv,dataset_3_1500_value.csv
logit,execution_time,dataset_5_150_value.csv,dataset_1_1050_value.csv
logreg,execution_time,dataset_4_150_value.csv,dataset_5_1500_value.csv
mlp,execution_time,dataset_2_150_value.csv,dataset_4_1500_value.csv
nb,execution_time,dataset_3_150_value.csv,dataset_5_1050_value.csv
rf,execution_time,dataset_5_150_value.csv,dataset_1_1350_value.csv
svm,execution_time,dataset_5_150_value.csv,dataset_2_1350_value.csv
svm_prob,execution_time,dataset_2_150_value.csv,dataset_4_1500_value.csv
tree,execution_time,dataset_3_150_value.csv,dataset_5_1500_value.csv
xgb,execution_time,dataset_5_150_value.csv,dataset_1_1500_value.csv
ada,memory_usage,dataset_1_150_value.csv,dataset_1_1200_value.csv
bag,memory_usage,dataset_5_900_value.csv,dataset_1_1200_value.csv
dt,memory_usage,dataset_5_600_value.csv,dataset_1_450_value.csv
et,memory_usage,dataset_5_900_value.csv,dataset_1_1350_value.csv
gb,memory_usage,dataset_4_1200_value.csv,dataset_3_300_value.csv
knn,memory_usage,dataset_3_1350_value.csv,dataset_1_450_value.csv
lgbm,memory_usage,dataset_4_1050_value.csv,dataset_4_750_value.csv
linearSVC,memory_usage,dataset_3_450_value.csv,dataset_1_1050_value.csv
logit,memory_usage,dataset_1_450_value.csv,dataset_5_1200_value.csv
logreg,memory_usage,dataset_1_150_value.csv,dataset_3_150_value.csv
mlp,memory_usage,dataset_3_1350_value.csv,dataset_1_150_value.csv
nb,memory_usage,dataset_3_1350_value.csv,dataset_1_900_value.csv
rf,memory_usage,dataset_1_1350_value.csv,dataset_1_1050_value.csv
svm,memory_usage,dataset_2_1500_value.csv,dataset_4_1500_value.csv
svm_prob,memory_usage,dataset_4_1200_value.csv,dataset_2_300_value.csv
tree,memory_usage,dataset_5_1350_value.csv,dataset_4_1050_value.csv
xgb,memory_usage,dataset_4_1500_value.csv,dataset_5_1350_value.csv
ada,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
bag,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
dt,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
et,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
gb,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
knn,f1_score,dataset_2_150_value.csv,dataset_1_150_value.csv
lgbm,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
linearSVC,f1_score,dataset_2_150_value.csv,dataset_1_150_value.csv
logit,f1_score,dataset_2_150_value.csv,dataset_1_150_value.csv
logreg,f1_score,dataset_2_150_value.csv,dataset_1_150_value.csv
mlp,f1_score,dataset_2_150_value.csv,dataset_3_750_value.csv
nb,f1_score,dataset_4_450_value.csv,dataset_1_750_value.csv
rf,f1_score,dataset_4_150_value.csv,dataset_5_450_value.csv
svm,f1_score,dataset_3_150_value.csv,dataset_1_150_value.csv
svm_prob,f1_score,dataset_3_150_value.csv,dataset_1_150_value.csv
tree,f1_score,dataset_4_150_value.csv,dataset_1_150_value.csv
xgb,f1_score,dataset_4_150_value.csv,dataset_5_450_value.csv
